epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,792.809,2.63133,17.234,0.95585,0.19546,0.35748,0.11511,0.03768,2.55135,9.87784,0.90341,0.000663551,0.000663551,0.000663551
2,1559.87,2.49224,5.58996,0.92854,0.43816,0.27946,0.2217,0.07207,2.52317,7.77266,0.92002,0.00131705,0.00131705,0.00131705
3,2323.23,2.48773,3.05399,0.92191,0.73127,0.42761,0.52765,0.21051,2.2048,2.78889,0.88555,0.00195735,0.00195735,0.00195735
4,3087.87,2.2874,2.21437,0.90753,0.76862,0.51852,0.60878,0.26286,2.13766,1.80933,0.87798,0.0019406,0.0019406,0.0019406
5,3968.24,2.25035,1.97782,0.89551,0.72287,0.61478,0.67713,0.25375,2.19358,2.48219,0.86983,0.0019208,0.0019208,0.0019208
6,4950.17,2.20442,1.79662,0.88497,0.71162,0.70623,0.73925,0.35118,1.93376,1.44729,0.86509,0.001901,0.001901,0.001901
7,5894.87,2.10625,1.69956,0.86696,0.81337,0.64565,0.77409,0.33626,1.93324,1.66376,0.85339,0.0018812,0.0018812,0.0018812
8,6854.34,2.07998,1.60997,0.86859,0.76159,0.633,0.72706,0.3529,1.89313,1.80924,0.84704,0.0018614,0.0018614,0.0018614
9,7776.02,2.05397,1.56142,0.87027,0.80127,0.7138,0.80574,0.3904,1.82238,1.23136,0.85147,0.0018416,0.0018416,0.0018416
10,8689.35,2.0245,1.51178,0.87456,0.85127,0.65657,0.79002,0.36845,1.81335,1.17936,0.84436,0.0018218,0.0018218,0.0018218
11,9634.08,1.95141,1.44642,0.85951,0.76583,0.70472,0.769,0.34232,1.98812,1.50189,0.85596,0.001802,0.001802,0.001802
12,10414.6,1.99812,1.38594,0.86265,0.81122,0.74747,0.83622,0.41929,1.7816,1.01541,0.83473,0.0017822,0.0017822,0.0017822
13,11177.9,1.94499,1.34508,0.85576,0.83469,0.75758,0.8415,0.38771,1.91628,1.04198,0.85797,0.0017624,0.0017624,0.0017624
14,11941.5,1.92592,1.36685,0.85656,0.88975,0.76083,0.85792,0.44379,1.67516,0.99699,0.83227,0.0017426,0.0017426,0.0017426
15,12728,1.87689,1.33745,0.8533,0.79744,0.76881,0.82259,0.3676,1.89731,1.0446,0.84699,0.0017228,0.0017228,0.0017228
16,13494.7,1.86552,1.23787,0.85112,0.85899,0.73837,0.8398,0.43463,1.70439,1.0323,0.83528,0.001703,0.001703,0.001703
17,14258.6,1.87665,1.28901,0.85142,0.79672,0.8182,0.87613,0.43875,1.73327,1.1143,0.83796,0.0016832,0.0016832,0.0016832
18,15033.3,1.83815,1.23868,0.84795,0.88157,0.77695,0.86738,0.46451,1.60316,1.00175,0.82516,0.0016634,0.0016634,0.0016634
19,15802.7,1.80425,1.19739,0.84467,0.87039,0.79798,0.87969,0.46944,1.66314,0.87841,0.82883,0.0016436,0.0016436,0.0016436
20,16572.5,1.80954,1.20171,0.84305,0.85566,0.79842,0.88978,0.4928,1.59972,0.84034,0.83232,0.0016238,0.0016238,0.0016238
21,17341.1,1.78822,1.20119,0.83466,0.82945,0.82492,0.87861,0.45424,1.64576,0.90277,0.82912,0.001604,0.001604,0.001604
22,18110.2,1.79554,1.15446,0.847,0.87884,0.79461,0.89076,0.45882,1.7285,0.86022,0.8286,0.0015842,0.0015842,0.0015842
23,18879,1.78696,1.15028,0.83856,0.82703,0.85325,0.88163,0.4927,1.56296,0.85321,0.82027,0.0015644,0.0015644,0.0015644
24,19648.7,1.74575,1.10422,0.84249,0.8714,0.84848,0.89974,0.50849,1.56548,0.84866,0.82206,0.0015446,0.0015446,0.0015446
25,20418.2,1.729,1.06347,0.84034,0.86774,0.81738,0.88757,0.496,1.62008,0.8061,0.82544,0.0015248,0.0015248,0.0015248
26,21187.2,1.70507,1.06387,0.83575,0.87306,0.83364,0.89362,0.49062,1.55644,0.84664,0.81968,0.001505,0.001505,0.001505
27,21955.9,1.72617,1.04615,0.83854,0.88968,0.76032,0.8766,0.48475,1.5868,0.97432,0.8228,0.0014852,0.0014852,0.0014852
28,22729.9,1.76393,1.0626,0.83345,0.88727,0.83165,0.91175,0.52944,1.47225,0.77942,0.81909,0.0014654,0.0014654,0.0014654
29,23501.2,1.69624,1.09553,0.83636,0.95599,0.80458,0.92687,0.54809,1.45752,0.73585,0.81923,0.0014456,0.0014456,0.0014456
30,24271.3,1.69522,1.05193,0.83199,0.86017,0.84919,0.90804,0.53083,1.49193,0.76116,0.81739,0.0014258,0.0014258,0.0014258
31,25052.5,1.70766,1.04978,0.83275,0.88902,0.85522,0.92038,0.54024,1.45372,0.74116,0.81154,0.001406,0.001406,0.001406
32,25828.9,1.69416,1.01156,0.82588,0.88653,0.84183,0.91819,0.54126,1.42501,0.73464,0.81676,0.0013862,0.0013862,0.0013862
33,26593.7,1.61479,0.97938,0.83157,0.85401,0.82727,0.90455,0.52921,1.47086,0.77197,0.81834,0.0013664,0.0013664,0.0013664
34,27363.1,1.63357,0.9834,0.82967,0.91896,0.83993,0.9287,0.55384,1.44504,0.69475,0.81347,0.0013466,0.0013466,0.0013466
35,28129.2,1.61227,0.98366,0.82586,0.87513,0.86532,0.90846,0.53251,1.49253,0.76576,0.81407,0.0013268,0.0013268,0.0013268
36,28896.5,1.60232,0.93303,0.82682,0.91362,0.85467,0.92306,0.56379,1.42401,0.68269,0.81373,0.001307,0.001307,0.001307
37,29665.4,1.68279,1.0065,0.835,0.91206,0.85522,0.91516,0.53383,1.45842,0.6909,0.81335,0.0012872,0.0012872,0.0012872
38,30433.1,1.60466,0.94589,0.82756,0.87471,0.84623,0.91599,0.51228,1.53182,0.73833,0.81889,0.0012674,0.0012674,0.0012674
39,31201.8,1.63634,0.93563,0.83222,0.90869,0.83766,0.92739,0.54006,1.44061,0.67395,0.81849,0.0012476,0.0012476,0.0012476
40,31968,1.60627,0.93313,0.83181,0.92108,0.86458,0.93602,0.56652,1.43227,0.67942,0.8111,0.0012278,0.0012278,0.0012278
41,32736.2,1.6278,0.93399,0.82448,0.87755,0.89277,0.93508,0.57831,1.3445,0.66758,0.80846,0.001208,0.001208,0.001208
42,33502.4,1.55809,0.89342,0.82226,0.91822,0.86954,0.9385,0.57818,1.36443,0.64431,0.80455,0.0011882,0.0011882,0.0011882
43,34269.7,1.54667,0.88636,0.82209,0.92606,0.88215,0.93785,0.56803,1.40357,0.64964,0.81078,0.0011684,0.0011684,0.0011684
44,35037.1,1.55588,0.89614,0.8262,0.90568,0.85859,0.93132,0.56983,1.39706,0.64731,0.81236,0.0011486,0.0011486,0.0011486
45,35803.2,1.53528,0.87001,0.82328,0.91567,0.87741,0.93494,0.57719,1.34559,0.66322,0.80516,0.0011288,0.0011288,0.0011288
46,36569.1,1.5539,0.86242,0.82839,0.90835,0.88552,0.93774,0.58506,1.37161,0.66324,0.80813,0.001109,0.001109,0.001109
47,37334.8,1.52682,0.85929,0.82136,0.906,0.88552,0.9418,0.58252,1.38922,0.64316,0.80916,0.0010892,0.0010892,0.0010892
48,38100.2,1.51061,0.83751,0.81883,0.90393,0.88704,0.9405,0.58759,1.33623,0.61877,0.80691,0.0010694,0.0010694,0.0010694
49,38865.5,1.51805,0.82088,0.81975,0.90505,0.89226,0.94101,0.60275,1.29198,0.62176,0.80484,0.0010496,0.0010496,0.0010496
50,39630.1,1.5405,0.84892,0.80854,0.8942,0.88889,0.9375,0.58348,1.3306,0.62034,0.80474,0.0010298,0.0010298,0.0010298
51,40395.4,1.48979,0.80241,0.8194,0.8746,0.89235,0.92974,0.58388,1.33775,0.67677,0.80836,0.00101,0.00101,0.00101
52,41160.3,1.48969,0.80853,0.82291,0.92157,0.87879,0.94482,0.5926,1.30787,0.62279,0.80529,0.0009902,0.0009902,0.0009902
53,41924.6,1.53263,0.87048,0.8219,0.91104,0.86202,0.93307,0.57983,1.36823,0.64907,0.80813,0.0009704,0.0009704,0.0009704
54,42689.3,1.49678,0.79811,0.81898,0.92432,0.86358,0.93939,0.58419,1.34673,0.6518,0.807,0.0009506,0.0009506,0.0009506
55,43456.2,1.4842,0.7827,0.81441,0.92645,0.89226,0.94777,0.58662,1.37637,0.63258,0.80539,0.0009308,0.0009308,0.0009308
