epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,44221.5,1.48043,0.81266,0.81351,0.91379,0.89218,0.94194,0.56968,1.36021,0.63318,0.80413,0.000911,0.000911,0.000911
57,45129.6,1.475,0.77079,0.81721,0.89954,0.90449,0.93812,0.60011,1.3036,0.62706,0.80517,0.0008912,0.0008912,0.0008912
58,45907.5,1.47958,0.79236,0.81916,0.92022,0.89329,0.94729,0.61238,1.27879,0.60568,0.80383,0.0008714,0.0008714,0.0008714
59,46681.2,1.45911,0.76673,0.81397,0.88019,0.89899,0.94199,0.59033,1.34566,0.63761,0.80896,0.0008516,0.0008516,0.0008516
60,47452.9,1.46512,0.77011,0.81939,0.88858,0.91298,0.94791,0.61719,1.28483,0.58659,0.80251,0.0008318,0.0008318,0.0008318
61,48222.2,1.45146,0.74807,0.81162,0.89969,0.89899,0.94867,0.62277,1.25336,0.57642,0.8018,0.000812,0.000812,0.000812
62,48993,1.41711,0.73559,0.81156,0.9288,0.87849,0.93719,0.60956,1.26294,0.60633,0.80346,0.0007922,0.0007922,0.0007922
63,49763.8,1.42676,0.73996,0.81178,0.9339,0.85626,0.94587,0.61076,1.27283,0.58698,0.80102,0.0007724,0.0007724,0.0007724
64,50535.3,1.43105,0.75763,0.81612,0.90245,0.88552,0.93664,0.60749,1.26846,0.61605,0.80324,0.0007526,0.0007526,0.0007526
65,51305.5,1.40691,0.73059,0.81115,0.92991,0.87205,0.95206,0.62038,1.25484,0.59476,0.80128,0.0007328,0.0007328,0.0007328
66,52077,1.40324,0.74185,0.81516,0.90958,0.91919,0.9499,0.62956,1.2344,0.57346,0.7992,0.000713,0.000713,0.000713
67,52847.9,1.39525,0.70754,0.80608,0.92106,0.88552,0.948,0.62469,1.24485,0.57588,0.80182,0.0006932,0.0006932,0.0006932
68,53615.9,1.38648,0.70548,0.80843,0.91619,0.91246,0.95169,0.61954,1.27296,0.55705,0.79975,0.0006734,0.0006734,0.0006734
69,54383.2,1.39385,0.70824,0.81357,0.91542,0.90236,0.94641,0.61471,1.26399,0.5636,0.80111,0.0006536,0.0006536,0.0006536
70,55161.8,1.40953,0.72257,0.8068,0.91372,0.87879,0.9475,0.6272,1.25399,0.59115,0.79985,0.0006338,0.0006338,0.0006338
71,55930,1.3519,0.68458,0.81127,0.90973,0.91582,0.94889,0.62835,1.24033,0.56475,0.79921,0.000614,0.000614,0.000614
72,56695.4,1.36314,0.71084,0.81591,0.92415,0.90251,0.94321,0.61927,1.25841,0.56267,0.80236,0.0005942,0.0005942,0.0005942
73,57462.6,1.3584,0.70497,0.80232,0.89672,0.91919,0.94596,0.62015,1.2751,0.58628,0.80155,0.0005744,0.0005744,0.0005744
74,58228.3,1.38026,0.69174,0.80847,0.9129,0.88552,0.94075,0.62351,1.23341,0.58713,0.79872,0.0005546,0.0005546,0.0005546
75,58994,1.33179,0.66529,0.81006,0.89838,0.9228,0.94884,0.63301,1.2343,0.573,0.79758,0.0005348,0.0005348,0.0005348
76,59760.3,1.35994,0.67273,0.80868,0.92518,0.91593,0.957,0.64271,1.21457,0.56926,0.79727,0.000515,0.000515,0.000515
77,60527.4,1.35166,0.66437,0.8124,0.91494,0.90539,0.9506,0.63648,1.21357,0.58646,0.79783,0.0004952,0.0004952,0.0004952
78,61293.8,1.33294,0.68775,0.80443,0.91045,0.92427,0.95701,0.64832,1.19898,0.5802,0.79743,0.0004754,0.0004754,0.0004754
79,62061.2,1.29554,0.66149,0.80702,0.92263,0.93266,0.95395,0.6468,1.19067,0.57525,0.80009,0.0004556,0.0004556,0.0004556
80,62827.9,1.35048,0.68535,0.80506,0.91798,0.90441,0.95522,0.64834,1.19753,0.56425,0.80115,0.0004358,0.0004358,0.0004358
81,63594,1.34924,0.65859,0.80446,0.9359,0.88495,0.9522,0.63375,1.20759,0.59715,0.79976,0.000416,0.000416,0.000416
82,64361.5,1.3069,0.64467,0.80346,0.91831,0.91919,0.9565,0.63169,1.23815,0.57998,0.80003,0.0003962,0.0003962,0.0003962
83,65128,1.29895,0.66004,0.79873,0.91949,0.92256,0.95688,0.64321,1.2338,0.56084,0.79927,0.0003764,0.0003764,0.0003764
84,65898.7,1.288,0.64282,0.8034,0.93964,0.89102,0.95791,0.64506,1.22375,0.57114,0.80008,0.0003566,0.0003566,0.0003566
85,66668.2,1.31421,0.65522,0.80892,0.93371,0.90236,0.95334,0.64394,1.21383,0.57345,0.79898,0.0003368,0.0003368,0.0003368
86,67438.1,1.26777,0.62294,0.8014,0.92511,0.91502,0.95982,0.64858,1.20793,0.57524,0.79725,0.000317,0.000317,0.000317
87,68207.1,1.26202,0.6327,0.80346,0.9397,0.88889,0.96031,0.65443,1.20582,0.56365,0.79863,0.0002972,0.0002972,0.0002972
88,68973.5,1.28732,0.63869,0.80342,0.93494,0.89899,0.96067,0.65327,1.19708,0.57699,0.79743,0.0002774,0.0002774,0.0002774
89,69740.7,1.25715,0.61783,0.80586,0.93205,0.9237,0.95925,0.65422,1.20005,0.57224,0.7988,0.0002576,0.0002576,0.0002576
90,70507.8,1.25485,0.63041,0.80095,0.92938,0.93057,0.9606,0.65381,1.19685,0.57222,0.79779,0.0002378,0.0002378,0.0002378
91,71265.7,1.17275,0.5659,0.80188,0.91476,0.93946,0.95691,0.64665,1.23074,0.57873,0.80046,0.000218,0.000218,0.000218
92,72022.4,1.16794,0.53393,0.81564,0.93654,0.90909,0.95971,0.65026,1.21547,0.57266,0.79795,0.0001982,0.0001982,0.0001982
93,72780.5,1.15967,0.55753,0.80485,0.93761,0.91082,0.95969,0.65531,1.20248,0.5763,0.7985,0.0001784,0.0001784,0.0001784
94,73543.8,1.13253,0.53417,0.80486,0.91968,0.92929,0.95839,0.65592,1.21672,0.56504,0.79918,0.0001586,0.0001586,0.0001586
95,74314.7,1.1588,0.53338,0.80791,0.91983,0.92593,0.95906,0.65358,1.20331,0.56263,0.79807,0.0001388,0.0001388,0.0001388
96,75073.4,1.1264,0.53531,0.80949,0.92009,0.93047,0.95734,0.65503,1.21184,0.56942,0.79846,0.000119,0.000119,0.000119
97,75830.6,1.1279,0.52855,0.81086,0.9291,0.92593,0.95799,0.65667,1.20923,0.5666,0.79742,9.92e-05,9.92e-05,9.92e-05
98,76588.7,1.12531,0.52219,0.80539,0.93467,0.92593,0.95876,0.66233,1.20941,0.56259,0.79702,7.94e-05,7.94e-05,7.94e-05
99,77346.5,1.11292,0.51899,0.80545,0.93204,0.92256,0.95983,0.65923,1.20633,0.55322,0.79658,5.96e-05,5.96e-05,5.96e-05
100,78102.5,1.09788,0.50703,0.80572,0.92785,0.92593,0.95926,0.65777,1.20339,0.55438,0.79666,3.98e-05,3.98e-05,3.98e-05
